Year Entered,Applications,Admits,AdmitRate,Matriculant,Yield,VerbalScore,Verbal10th,Verbal25th,Verbal50th,Verbal75th,Verbal90th,MathScore,Math10th,Math25th,Math50th,Math75th,Math90th,SAT10,SAT25,SAT50,SAT75,SAT90,LegacyCount,NewHaven,NewEngland,NewYorkState,EastofMississippi,WestofMississippi,U.S.Poss.Foreign,Total
1986,12528,2269,0.181,1291,0.569,Verbal,560,610,670,710,740,Math,600,650,700,740,770,1160,1260,1370,1450,1510,204,19,226,263,448,278,57,1291
1987,13063,2310,0.177,1312,0.568,Verbal,550,610,660,710,740,Math,600,650,700,740,770,1150,1260,1360,1450,1510,215,12,233,236,468,295,68,1312
1988,12797,2370,0.185,1275,0.538,Verbal,550,610,660,710,740,Math,600,650,700,740,780,1150,1260,1360,1450,1520,191,6,228,243,451,281,66,1275
1989,12063,2264,0.188,1279,0.565,Verbal,550,600,670,710,730,Math,600,650,710,740,780,1150,1250,1380,1450,1510,184,12,213,236,446,306,66,1279
1990,11922,2354,0.197,1366,0.58,Verbal,550,610,670,710,740,Math,610,660,710,750,780,1160,1270,1380,1460,1520,157,10,217,242,474,347,76,1366
1991,10794,2372,0.22,1290,0.544,Verbal,550,610,670,710,740,Math,610,660,710,750,780,1160,1270,1380,1460,1520,144,12,210,244,422,326,76,1290
1992,11054,2455,0.222,1326,0.54,Verbal,540,600,660,700,740,Math,600,650,700,740,770,1140,1250,1360,1440,1510,132,10,231,240,443,331,71,1326
1993,10705,2453,0.229,1317,0.537,Verbal,550,600,660,710,730,Math,600,650,710,750,780,1150,1250,1370,1460,1510,118,5,204,242,462,332,72,1317
1994,12991,2451,0.189,1308,0.534,Verbal,550,620,670,710,740,Math,610,670,720,750,780,1160,1290,1390,1460,1520,113,12,178,256,448,336,78,1308
1995,12620,2521,0.2,1364,0.541,Verbal,570,620,670,710,740,Math,640,680,720,760,770,1210,1300,1390,1470,1510,137,8,165,263,442,372,114,1364
1996,12952,2371,0.183,1409,0.594,Verbal,620,680,730,770,800,Math,630,680,720,780,800,1250,1360,1450,1550,1600,130,9,203,250,432,385,130,1409
1997,12046,2144,0.178,1307,0.61,Verbal,620,670,720,770,800,Math,630,670,720,760,790,1250,1340,1440,1530,1590,137,9,184,256,420,317,121,1307
1998,11947,2100,0.176,1299,0.619,Verbal,630,680,730,780,800,Math,630,680,720,760,800,1260,1360,1450,1540,1600,133,7,165,218,426,367,116,1299
1999,13270,2135,0.161,1371,0.642,Verbal,630,690,740,780,800,Math,640,690,730,770,800,1270,1380,1470,1550,1600,163,9,190,238,456,362,116,1371
2000,12887,2084,0.162,1352,0.649,Verbal,630,690,730,780,800,Math,640,690,720,770,800,1270,1380,1450,1550,1600,146,17,186,231,443,339,136,1352
2001,14809,2038,0.138,1296,0.636,Verbal,620,680,730,770,800,Math,630,680,720,770,800,1250,1360,1450,1540,1600,130,10,180,190,418,366,132,1296
2002,15466,2009,0.13,1300,0.647,Verbal,630,680,740,780,800,Math,640,690,730,780,800,1270,1370,1470,1560,1600,173,8,173,192,431,369,127,1300
2003,17735,2014,0.114,1353,0.672,Verbal,630,690,750,790,800,Math,650,690,740,790,800,1280,1380,1490,1580,1600,162,6,192,189,456,354,156,1353
2004,19682,1958,0.099,1308,0.668,Verbal,650,700,750,780,800,Math,650,700,740,780,800,1300,1400,1490,1560,1600,163,14,155,197,441,375,126,1308
2005,19451,1880,0.097,1321,0.703,Verbal,640,700,750,790,800,Math,660,700,740,790,800,1300,1400,1490,1580,1600,157,10,178,166,434,420,113,1321
2006,21101,1878,0.089,1315,0.7,Verbal,650,700,750,790,800,Math,650,690,740,790,800,1300,1390,1490,1580,1600,162,8,150,178,453,378,148,1315
2007,19323,1911,0.099,1320,0.691,Verbal,650,700,750,800,800,Math,660,700,740,790,800,1310,1400,1490,1590,1600,162,7,164,175,475,356,143,1320
2008,22817,1952,0.086,1320,0.676,Verbal,640,700,750,800,800,Math,650,700,740,780,800,1290,1400,1490,1580,1600,143,10,158,192,454,351,155,1320
2009,26003,1958,0.075,1307,0.668,Verbal,650,700,750,800,800,Math,650,700,750,780,800,1300,1400,1500,1580,1600,132,9,162,169,450,372,145,1307
2010,25869,2039,0.079,1344,0.659,Verbal,650,700,750,800,800,Math,660,710,750,790,800,1310,1410,1500,1590,1600,117,6,173,199,431,354,181,1344
2011,27283,2109,0.077,1351,0.641,Verbal,650,700,740,790,800,Math,660,700,760,800,800,1310,1400,1500,1590,1600,147,7,158,180,477,373,156,1351
2012,28977,2043,0.071,1356,0.664,Verbal,650,700,750,800,800,Math,660,710,750,790,800,1310,1410,1500,1590,1600,148,9,154,189,456,375,173,1356
2013,29610,2031,0.069,1359,0.669,Verbal,650,710,750,800,800,Math,670,710,760,790,800,1320,1420,1510,1590,1600,147,11,185,170,480,349,164,1359
2014,30932,1950,0.063,1361,0.698,Verbal,650,710,750,800,800,Math,660,700,750,800,800,1310,1410,1500,1600,1600,133,12,170,163,465,383,168,1361
2015,30236,2034,0.067,1364,0.671,Verbal,650,720,760,800,800,Math,670,710,750,800,800,1320,1430,1510,1600,1600,118,11,170,177,471,362,173,1364
2016,31445,1988,0.063,1371,0.69,Verbal,650,710,750,800,800,Math,660,710,760,800,800,1310,1420,1510,1600,1600,149,8,159,191,476,354,184,1372
2017,32879,2277,0.069,1579,0.693,Verbal,650,710,750,800,800,Math,660,710,770,800,800,1310,1420,1520,1600,1600,162,18,196,181,565,432,188,1580
2018,35307,2241,0.063,1573,0.702,Verbal,680,720,750,770,780,Math,690,730,780,790,800,1370,1450,1530,1560,1580,146,20,206,195,557,400,196,1574
2019,36844,2241,0.061,1550,0.692,Verbal,670,720,750,770,790,Math,690,740,780,800,800,1360,1460,1530,1570,1590,138,18,172,213,520,440,187,1550
2020,35220,2299,0.065,1264,0.55,Verbal,680,720,750,780,790,Math,690,740,780,800,800,1370,1460,1530,1580,1590,81,15,150,147,423,385,144,1264
2021,47240,2509,0.053,1786,0.712,Verbal,690,730,760,780,790,Math,700,750,780,800,800,1390,1480,1540,1580,1590,185,23,181,230,547,539,266,1786
2022,50060,2289,0.046,1554,0.679,Verbal,710,740,760,780,790,Math,720,760,780,800,800,1430,1500,1540,1580,1590,149,20,177,202,501,433,221,1554
